City,State,Population,Population Male,Population Female,Sex Ratio Males per 100 Females,Under 5 Years,5 to 9 years,10 to 14 years,15 to 19 Years,20 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years or Over,Median Age,Under 18 Years,18 Years and Over,21 Years and Over,62 Years and Over,65 Years and Over,Males 18 Years and Over,Females 18 Years and Over,18 and Over Sex Ratio 1 Male to 100 Females,Males 65 Years and Over,Females 65 Years and Over,65 and Over Sex Ratio 1 Male to 100 Females,Single Race Population,Multiracial Population,White Population,Black or African American Population,American Indian and Alaska Native,Cherokee Tribal Grouping,Chippewa Tribal Grouping,Navajo Tribal Grouping,Sioux Tribal Grouping,Asian Population,Asian Indian Population,Chinese Population,Filipino Population,Japanese Population,Korean Population,Vietnamese Population,Other Asian Population,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian Population,Guamanian or Chamorro Population,Samoan Population,Other Pacific Islander Population,Other Race Population,White and Black or African American Multiracial Population,White and American Indian and Alaskan Native Multiracial Population,White and Asian Multiracial Population,Black or African American and American Indian and Alaskan Native Multiracial Population,Hispanic or Latino Population,Mexican Population,Puerto Rican Population,Cuban Population,Other Hispanic or Latino Population,Elligible Voter Population,Elligible Male Voter Population,Elligible Female Voter Population
Asheville,NC,462680,223090,239590,93.1,22482,23683,22847,25625,21420,60234,57049,58122,29085,34983,62190,30383,14577,44.6,84305,378375,363849,127723,107150,179609,198766,90.4,47612,59538,80,453839,8841,418000,22046,1694,-999999999,-999999999,-999999999,-999999999,5216,1671,1037,774,323,808,97,506,56,-999999999,-999999999,-999999999,-999999999,6827,2794,2186,1797,585,32825,19454,2039,1716,9616,362623,171000,191623
Ashtabula,OH,97241,49564,47677,104,5324,6081,6107,5767,5626,11691,10771,12380,6973,7287,11283,5927,2024,42.3,21249,75992,72475,23860,19234,38239,37753,101.3,9019,10215,88.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4317,-999999999,-999999999,-999999999,-999999999,75800,38195,37605
Athens,OH,65327,32181,33146,97.1,2906,2335,2620,10460,9709,8239,6609,6429,3404,3807,5372,2415,1022,30.5,10077,55250,44192,11196,8809,27150,28100,96.6,3853,4956,77.7,64016,1311,59787,1879,582,-999999999,-999999999,-999999999,-999999999,1732,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,36,-999999999,-999999999,-999999999,-999999999,1265,-999999999,-999999999,-999999999,-999999999,53344,26029,27315
Athens,TX,82737,40222,42515,94.6,3828,4381,5384,5461,4365,9972,8585,9408,5162,6622,11364,6355,1850,44.4,16812,65925,62919,24001,19569,31598,34327,92,8583,10986,78.1,81514,1223,74570,3910,959,-999999999,-999999999,-999999999,-999999999,1748,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,327,-999999999,-999999999,-999999999,-999999999,11218,-999999999,-999999999,-999999999,-999999999,63191,29261,33930
Baton Rouge,LA,854884,418604,436280,95.9,51424,53303,62046,58973,65244,123704,112292,97964,49628,55458,77430,34414,13004,35.9,199685,655199,612896,157532,124848,315053,340146,92.6,54976,69872,78.7,842836,12048,501825,307743,2009,-999999999,-999999999,-999999999,-999999999,16949,3841,2827,1046,414,230,6933,1658,0,-999999999,-999999999,-999999999,-999999999,14310,3762,1592,2088,514,36210,10124,3548,1171,21367,634606,304641,329965
Battle Creek,MI,134159,65920,68239,96.6,8247,7965,8582,9345,8280,16572,16100,16269,9511,8794,14408,7419,2667,39.6,30154,104005,97894,30063,24494,50063,53942,92.8,10959,13535,81,128004,6155,107815,14238,812,-999999999,-999999999,-999999999,-999999999,3765,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1374,3146,1349,664,46,7345,-999999999,-999999999,-999999999,-999999999,101368,49010,52358
Athens,GA,212706,103082,109624,94,11412,11566,14028,22547,24548,28075,24367,25839,12978,9352,17478,8763,1753,32.6,42625,170081,146594,33828,27994,80642,89439,90.2,11842,16152,73.3,206768,5938,152380,45004,174,-999999999,-999999999,-999999999,-999999999,7289,1153,1814,1178,219,770,619,1536,103,-999999999,-999999999,-999999999,-999999999,1818,1045,1045,1874,0,17643,9033,2503,1011,5096,162220,77024,85196
Atlanta,GA,6018744,2908328,3110416,93.5,371782,389313,437525,413385,386035,858036,836768,839485,395569,327732,478183,212364,72567,36.8,1450990,4567754,4330268,955583,763114,2169069,2398685,90.4,330036,433078,76.2,5852373,166371,3143242,2089494,27947,-999999999,-999999999,-999999999,-999999999,366859,138186,50669,14624,7050,43500,59333,53497,4175,-999999999,-999999999,-999999999,-999999999,220656,62748,14981,34405,5502,661048,338567,58337,25558,238586,4165493,1956349,2209144
Atlantic City,NJ,263670,128571,135099,95.2,13494,14404,18050,16475,17755,30123,31483,32851,19448,20472,28933,14897,5285,41.9,55495,208175,197192,62021,49115,99417,108758,91.4,21885,27230,80.4,253720,9950,168846,37184,795,-999999999,-999999999,-999999999,-999999999,20610,6261,4433,3785,623,761,4088,659,618,-999999999,-999999999,-999999999,-999999999,25667,3830,565,1815,508,51129,10160,16430,489,24050,191437,92157,99280
Auburn,NY,76576,38865,37711,103.1,3782,3569,4821,4085,4259,8981,9510,10220,6328,5978,8750,4165,2128,44,14718,61858,59176,18447,15043,31554,30304,104.1,6936,8107,85.6,74249,2327,69910,2757,66,-999999999,-999999999,-999999999,-999999999,642,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35,-999999999,-999999999,-999999999,-999999999,839,1527,473,67,0,2401,179,1132,33,1057,61208,31316,29892
Auburn,AL,164542,82405,82137,100.3,8512,12662,7503,14040,20499,22519,22401,17816,9312,8533,12800,6251,1694,33.3,34720,129822,115305,26423,20745,62887,66935,94,9315,11430,81.5,162108,2434,116738,37396,586,-999999999,-999999999,-999999999,-999999999,7191,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,197,-999999999,-999999999,-999999999,-999999999,6092,1675,676,0,3741,124629,60177,64452
Augusta,GA,610648,296374,314274,94.3,35137,38594,42930,43287,38258,84619,75648,74315,38936,40271,60309,28609,9735,38.2,140807,469841,442523,121263,98653,223732,246109,90.9,43390,55263,78.5,586741,23907,350465,217339,505,-999999999,-999999999,-999999999,-999999999,10149,2024,1384,1782,172,2973,1052,762,127,-999999999,-999999999,-999999999,-999999999,8156,10649,991,5567,430,34777,15594,11721,283,7179,459540,217493,242047
Augusta,ME,122302,58709,63593,92.3,5757,4695,8070,7345,6899,14652,13543,16791,10762,8591,15051,7427,2719,45.1,22720,99582,94793,30607,25197,47349,52233,90.6,11355,13842,82,119765,2537,116835,1802,132,-999999999,-999999999,-999999999,-999999999,574,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,422,-999999999,-999999999,-999999999,-999999999,2056,419,740,232,665,98670,46802,51868
Austin,TX,2227083,1112929,1114154,99.9,136705,134388,149464,149224,149595,388243,351843,281840,122960,114157,160385,62552,25727,35.2,504773,1722310,1622016,315845,248664,856518,865792,98.9,111867,136797,81.8,2142180,84903,1692125,160272,14516,-999999999,-999999999,-999999999,-999999999,135943,55970,23321,6377,2099,12209,20478,15489,929,-999999999,-999999999,-999999999,-999999999,138395,18036,13983,23452,2544,726124,577256,20271,17556,111041,1523572,752653,770919
