City,State,Passenger Miles
Fort Worth,TX,"18,053,520 "
Brockton,MA,"17,883,887 "
Brooklyn,NY,"17,875,468 "
Lexington,KY,"17,621,395 "
Des Moines,IA,"17,546,035 "
Research Triangle Park,NC,"16,807,962 "
State College,PA,"16,782,827 "
Elizabeth,NJ,"16,781,260 "
New York,NY,"16,650,254 "
Orange,CA,"16,571,985 "
Fort Myers,FL,"16,454,159 "
Peoria,IL,"16,383,026 "
Bridgeport,CT,"16,298,749 "
Petaluma,CA,"16,174,174 "
Culver City,CA,"16,103,312 "
Antioch,CA,"15,847,376 "
Concord,CA,"15,738,196 "
Shreveport,LA,"15,728,847 "
Ann Arbor,MI,"15,721,596 "
Pomona,NY,"15,594,160 "
New Orleans,LA,"15,572,457 "
Boston,MA,"15,540,423 "
Miami,FL,"15,412,476 "
Canton,OH,"15,374,255 "
Oklahoma City,OK,"14,805,352 "
Lancaster,CA,"14,636,320 "
Reno,NV,"14,602,280 "
Las Vegas,NV,"14,544,049 "
Oxnard,CA,"14,383,778 "
Granite City,IL,"14,346,800 "
Lancaster,CA,"14,307,642 "
Baton Rouge,LA,"14,187,321 "
Tulsa,OK,"14,155,601 "
North Charleston,SC,"13,773,311 "
Greensboro,NC,"13,705,397 "
Ventura,CA,"13,549,637 "
South Daytona,FL,"13,451,566 "
Woodland,CA,"13,444,516 "
Olympia,WA,"13,361,828 "
Bremerton,WA,"13,232,323 "
Wailuku,HI,"13,073,252 "
Worcester,MA,"13,053,317 "
Bellingham,WA,"13,012,492 "
Charlotte,NC,"12,850,952 "
Honolulu,HI,"12,801,383 "
Anchorage,AK,"12,776,968 "
Orlando,FL,"12,735,546 "
Newark,NJ,"12,633,883 "
West Palm Beach,FL,"12,609,518 "
Omaha,NE,"12,569,470 "
Salt Lake City,UT,"12,395,920 "
San Rafael,CA,"12,281,711 "
Austin,TX,"12,269,528 "
Cocoa,FL,"12,265,934 "
Chapel Hill,NC,"12,133,936 "
Buffalo,NY,"12,128,749 "
Sanford,FL,"12,044,554 "
Boston,MA,"11,986,627 "
San Luis Obispo,CA,"11,896,511 "
Lafayette,IN,"11,757,492 "
Pittsburgh,PA,"11,706,990 "
Ithaca,NY,"11,554,814 "
Lawrenceville,GA,"11,545,050 "
Boise,ID,"11,513,845 "
Sarasota,FL,"11,373,298 "
Puerto Real,PR,"11,287,502 "
Gardena,CA,"11,281,212 "
Roanoke,VA,"11,263,599 "
Miami,FL,"11,238,427 "
Philadelphia,PA,"11,118,969 "
Duluth,MN,"10,991,960 "
Marietta,GA,"10,978,224 "
Santa Clarita,CA,"10,876,834 "
Dover,DE,"10,871,598 "
Denver,CO,"10,744,485 "
Kalamazoo,MI,"10,740,997 "
San Francisco,CA,"10,735,370 "
Wenatchee,WA,"10,695,307 "
Riverside,CA,"10,660,866 "
North Little Rock,AR,"10,652,836 "
Harrisburg,IL,"10,622,485 "
Colorado Springs,CO,"10,582,664 "
Harrisburg,PA,"10,553,592 "
Austin,TX,"10,387,840 "
Philadelphia,PA,"10,309,799 "
Portland,OR,"10,171,647 "
Ames,IA,"10,149,483 "
Newark,NJ,"10,131,563 "
Hesperia,CA,"10,107,573 "
St. Paul,MN,"10,069,752 "
Lynchburg,VA,"10,065,600 "
Atlanta,GA,"10,036,212 "
Cleveland,OH,"10,019,677 "
Stockton,CA,"9,880,682 "
Plantation,FL,"9,854,729 "
Hartford,CT,"9,819,844 "
Gretna,LA,"9,626,644 "
Cleveland,OH,"9,580,135 "
Rochester,PA,"9,526,532 "
Toledo,OH,"9,512,713 "
Santa Clarita,CA,"9,439,397 "
Tallahassee,FL,"9,404,346 "
Yaphank,NY,"9,390,693 "
Moline ,IL,"9,374,254 "
Laredo,TX,"9,316,086 "
Salem,OR,"9,215,585 "
Vallejo,CA,"9,186,794 "
Modesto,CA,"9,171,930 "
Fort Collins,CO,"9,167,118 "
Eugene,OR,"9,115,927 "
Des Moines,IA,"9,037,128 "
Fort Worth,TX,"8,850,570 "
Seattle,WA,"8,840,480 "
Woodbridge,VA,"8,832,548 "
Davis,CA,"8,674,173 "
Santa Cruz,CA,"8,629,571 "
Visalia,CA,"8,598,378 "
Haverhill,MA,"8,566,666 "
Richland,WA,"8,557,974 "
Dayton,OH,"8,556,529 "
Riverside,CA,"8,550,774 "
New Bedford,MA,"8,475,558 "
Hyannis,MA,"8,404,113 "
Erie,PA,"8,393,843 "
Lubbock,TX,"8,333,792 "
Winston-Salem,NC,"8,307,195 "
Portland,OR,"8,306,781 "
Lafayette,LA,"8,139,132 "
Hartford,CT,"8,117,335 "
Anchorage,AK,"8,110,732 "
Miami,FL,"8,038,902 "
Arlington Heights,IL,"8,029,586 "
Charleston,WV,"7,950,277 "
San Francisco,CA,"7,880,988 "
Greensboro,NC,"7,807,652 "
Knoxville,TN,"7,797,324 "
Denver,CO,"7,732,123 "
Lawrenceville,GA,"7,720,708 "
El Centro,CA,"7,679,725 "
