City,County,State,City Latitude,City Longitude,Closest Airport,Closest Airport ICAO,Distance to Airport KM,Distance to Airport Miles
Central City,Linn,IA,42.2024,-91.5248,Quad City International Airport,KMLI,118.880022881434,73.86862247386411
Tsaile,Apache,AZ,36.3033,-109.2157,Albuquerque International Sunport,KABQ,274.15756895698473,170.35361761188435
Waukomis,Garfield,OK,36.2833,-97.9038,Tulsa International Airport,KTUL,181.01747899494427,112.47904814406331
Gold Hill,Jackson,OR,42.4358,-123.0526,Portland International Airport,KPDX,352.46504271426755,219.0116265494157
Gillett,Oconto,WI,44.8897,-88.3063,Austin Straubel International Airport,KGRB,47.10825617689125,29.27171367054233
Maharishi Vedic City,Jefferson,IA,41.0542,-92.0142,Quad City International Airport,KMLI,133.3693085127631,82.87184727374583
Horine,Jefferson,MO,38.2669,-90.4324,St Louis Lambert International Airport,KSTL,53.84787330775322,33.459517654686586
Eden,Concho,TX,31.2162,-99.844,San Antonio International Airport,KSAT,228.86078094271124,142.20749808730963
Uhland,Caldwell,TX,29.9624,-97.7953,Austin Bergstrom International Airport,KAUS,28.489773619597994,17.70272482173795
Wathena,Doniphan,KS,39.7602,-94.9396,Kansas City International Airport,KMCI,54.96050608333698,34.1508756176104
Beulaville,Duplin,NC,34.9228,-77.7725,Raleigh Durham International Airport,KRDU,140.48085745798002,87.290758975694
New Sharon,Mahaska,IA,41.4701,-92.6509,Des Moines International Airport,KDSM,84.59210279860233,52.56309642649089
Winona,Shannon,MO,37.0042,-91.327,St Louis Lambert International Airport,KSTL,211.38065282273698,131.34584990124748
Deadwood,Lawrence,SD,44.3871,-103.7207,Billings Logan International Airport,KBIL,410.06790092307034,254.80438367804933
Sundance,Crook,WY,44.4048,-104.3623,Billings Logan International Airport,KBIL,363.23806365433455,225.70567149857024
Uvalde Estates,Uvalde,TX,29.1695,-99.8329,San Antonio International Airport,KSAT,138.178936516688,85.86041159809824
Elm City,Wilson,NC,35.8087,-77.8622,Raleigh Durham International Airport,KRDU,83.75475023583124,52.04278965973874
Harristown,Macon,IL,39.8428,-89.0607,General Wayne A. Downing Peoria International Airport,KPIA,105.94359529037325,65.83029893789357
Van Meter,Dallas,IA,41.5207,-93.9454,Des Moines International Airport,KDSM,23.546451999864523,14.631087134898218
Lakewood Club,Muskegon,MI,43.3761,-86.2563,General Mitchell International Airport,KMKE,141.3290736305885,87.81781607672714
St. Francis,Cheyenne,KS,39.7714,-101.8015,Denver International Airport,KDEN,245.4459314530654,152.513032962109
Prosperity,Newberry,SC,34.2121,-81.5327,Greenville Spartanburg International Airport,KGSP,98.62528794807196,61.282913522639014
Stowell,Chambers,TX,29.7814,-94.3794,George Bush Intercontinental Houston Airport,KIAH,95.45454704199229,59.312706440939195
Farwell,Parmer,TX,34.3855,-103.0373,Lubbock Preston Smith International Airport,KLBB,137.71851278938044,85.57431755415267
Cornersville,Marshall,TN,35.3628,-86.8583,Huntsville International Carl T Jones Field,KHSV,81.03833753086462,50.35488903755839
Frankfort,Benzie,MI,44.6361,-86.2332,Austin Straubel International Airport,KGRB,151.17878667817237,93.93814409275998
Lyons,Linn,OR,44.7776,-122.6098,Portland International Airport,KPDX,90.1950147113756,56.04458452522511
Asotin,Asotin,WA,46.3366,-117.0414,Spokane International Airport,KGEG,147.50822224288575,91.65736106492861
Fall Creek,Eau Claire,WI,44.7639,-91.2783,Rochester International Airport,KRST,135.9836278728456,84.49631003170352
Northwest Ithaca,Tompkins,NY,42.4706,-76.5414,Syracuse Hancock International Airport,KSYR,79.58882629078198,49.45420449889475
Dewart,Northumberland,PA,41.1099,-76.8707,Philadelphia International Airport,KPHL,194.77712640330182,121.02889676577134
Preston,Fillmore,MN,43.6726,-92.0828,Rochester International Airport,KRST,42.5245838644789,26.423551705371892
Livermore,McLean,KY,37.4919,-87.1342,Louisville Muhammad Ali International Airport,KSDF,144.34900155525943,89.69431231519343
Larimore,Grand Forks,ND,47.9091,-97.6269,Duluth International Airport,KDLH,425.87856005070955,264.6286719129815
Parshall,Mountrail,ND,47.9557,-102.1342,Billings Logan International Airport,KBIL,542.259631257099,336.94451778578116
Tahoe Vista,Placer,CA,39.2483,-120.0535,Reno Tahoe International Airport,KRNO,37.147965707760065,23.08267602938972
Colchester,McDonough,IL,40.4273,-90.7923,General Wayne A. Downing Peoria International Airport,KPIA,96.52414467999816,59.977323608784076
Arizona Village,Mohave,AZ,34.8548,-114.5893,McCarran International Airport,KLAS,145.46471238841664,90.38758289444532
Many Farms,Apache,AZ,36.3532,-109.6271,Albuquerque International Sunport,KABQ,309.163861583796,192.10551966895724
Wheaton,Traverse,MN,45.8059,-96.498,Minneapolis-St Paul International/Wold-Chamberlain Airport,KMSP,275.86015916531,171.41155813273969
Von Ormy,Bexar,TX,29.2802,-98.6556,San Antonio International Airport,KSAT,33.44378784467532,20.781006585591317
Shenandoah Heights,Schuylkill,PA,40.8322,-76.2061,Philadelphia International Airport,KPHL,134.49375262610187,83.57054446178407
Bull Run Mountain Estates,Prince William,VA,38.9107,-77.6638,Washington Dulles International Airport,KIAD,18.380747636127182,11.421267215557512
Buffalo,Harper,OK,36.8373,-99.6464,Rick Husband Amarillo International Airport,KAMA,258.1888611842334,160.43112250068054
Van Vleck,Matagorda,TX,29.0278,-95.88,George Bush Intercontinental Houston Airport,KIAH,118.45252749222608,73.60298915087752
Broadway,Lee,NC,35.4579,-79.0547,Raleigh Durham International Airport,KRDU,52.54149232086755,32.647770133208255
Hemlock,Saginaw,MI,43.418,-84.2326,MBS International Airport,KMBS,17.76683577164668,11.039800063631024
Roscoe,Nolan,TX,32.4419,-100.5322,Lubbock Preston Smith International Airport,KLBB,181.45458963112225,112.750656104598
Diamond Ridge,Kenai Peninsula,AK,59.7024,-151.5545,Ted Stevens Anchorage International Airport,PANC,184.65175143643418,114.73728037215884
Crosby,Divide,ND,48.9161,-103.2966,Billings Logan International Airport,KBIL,524.7689780162721,326.07632959274457
Pocono Springs,Wayne,PA,41.2797,-75.4016,Newark Liberty International Airport,KEWR,122.36123723024139,76.03174881123977
Laingsburg,Shiawassee,MI,42.8906,-84.35,MBS International Airport,KMBS,74.70700405737975,46.42078075953892
Latta,Dillon,SC,34.339,-79.4337,Charlotte Douglas International Airport,KCLT,168.7316638300683,104.84499643208613
Salem,McCook,SD,43.7228,-97.3894,Minneapolis-St Paul International/Wold-Chamberlain Airport,KMSP,355.7643661371558,221.06173110388386
Cedar Glen West,Ocean,NJ,40.0418,-74.2852,Newark Liberty International Airport,KEWR,73.02481518951654,45.37551704408813
New Castle Northwest,Lawrence,PA,41.0221,-80.3566,Pittsburgh International Airport,KPIT,59.91288742450963,37.228142754432454
Clintwood,Dickenson,VA,37.1507,-82.4573,Greenville Spartanburg International Airport,KGSP,251.65972235643432,156.37410367228443
Hansen,Twin Falls,ID,42.5313,-114.3012,Salt Lake City International Airport,KSLC,273.48808426084156,169.93761910286022
Enosburg Falls,Franklin,VT,44.9083,-72.8029,Portland International Jetport,KPWM,243.0980493358016,151.05412663344623
Wetherington,Butler,OH,39.3633,-84.3767,Cincinnati Northern Kentucky International Airport,KCVG,43.03551740420266,26.74103109207029
Sistersville,Tyler,WV,39.5599,-80.9987,Pittsburgh International Airport,KPIT,122.40231487755536,76.05727327824442
